2024-05-16 17:25:09,667.dgraves_emit_data.INFO ==================================================
2024-05-16 17:25:09,667.dgraves_emit_data.INFO Today is 2024-05-16 at 05:25 PM
2024-05-16 17:25:09,667.dgraves_emit_data.INFO Running on: nt Windows 11
2024-05-16 17:25:09,667.dgraves_emit_data.INFO Python version:  3.12.2
2024-05-16 17:25:09,667.dgraves_emit_data.INFO Python path: C:\Users\derek\AppData\Local\Programs\Python\Python312
2024-05-16 17:25:09,668.dgraves_emit_data.INFO Working dir: C:\Users\derek\OneDrive\Documents\Streaming Data\Week 3\streaming-03-bonus-dgraves
2024-05-16 17:25:09,668.dgraves_emit_data.INFO ==================================================
2024-05-16 17:25:09,678.dgraves_emit_data.INFO  [x] Sent ﻿_id,Scientific_Name,Common_Name,Date,Year,Month,Day,Time,Country,Country_State_County,State,County,Locality,Latitude,Longitude,Parent_Species,target_H5_HPAI
2024-05-16 17:26:20,036.dgraves_emit_data.INFO  [x] Sent 33,Troglodytes troglodytes,Eurasian Wren,2005-06-28T00:00:00,2005,6,28,1600,Ireland,IE-L-WH,Leinster,Westmeath,Mornington House,53.6225,-7.3297,Troglodytes troglodytes,0
2024-05-16 17:26:21,368.dgraves_emit_data.INFO  [x] Sent 34,Muscicapa striata,Spotted Flycatcher,2005-06-28T00:00:00,2005,6,28,1600,Ireland,IE-L-WH,Leinster,Westmeath,Mornington House,53.6225,-7.3297,Muscicapa striata,0
2024-05-16 17:26:23,258.dgraves_emit_data.INFO  [x] Sent 35,Phasianus colchicus,Ring-necked Pheasant,2005-06-28T00:00:00,2005,6,28,1600,Ireland,IE-L-WH,Leinster,Westmeath,Mornington House,53.6225,-7.3297,Phasianus colchicus,0
2024-05-16 17:26:25,419.dgraves_emit_data.INFO  [x] Sent 36,Fringilla coelebs,Common Chaffinch,2005-06-29T00:00:00,2005,6,29,700,Ireland,IE-L-WH,Leinster,Westmeath,Mornington House,53.6225,-7.3297,Fringilla coelebs,0
2024-05-16 17:26:28,178.dgraves_emit_data.INFO  [x] Sent 37,Fringilla coelebs,Common Chaffinch,2005-06-29T00:00:00,2005,6,29,700,Ireland,IE-L-WH,Leinster,Westmeath,Mornington House,53.6225,-7.3297,Fringilla coelebs,0
2024-05-16 17:26:31,116.dgraves_emit_data.INFO  [x] Sent 38,Columba palumbus,Common Wood-Pigeon,2005-06-29T00:00:00,2005,6,29,700,Ireland,IE-L-WH,Leinster,Westmeath,Mornington House,53.6225,-7.3297,Columba palumbus,0
2024-05-16 17:26:33,098.dgraves_emit_data.INFO  [x] Sent 39,Corvus frugilegus,Rook,2005-07-03T00:00:00,2005,7,3,1900,Ireland,IE-M-KY,Munster,Kerry,Tralee Bay low tide,52.2806,-9.8723,Corvus frugilegus,0
2024-05-16 17:26:34,490.dgraves_emit_data.INFO  [x] Sent 40,Corvus monedula,Eurasian Jackdaw,2005-07-03T00:00:00,2005,7,3,1900,Ireland,IE-M-KY,Munster,Kerry,Tralee Bay low tide,52.2806,-9.8723,Corvus monedula,0
2024-05-16 17:26:35,842.dgraves_emit_data.INFO  [x] Sent 41,Larus marinus,Great Black-backed Gull,2005-07-03T00:00:00,2005,7,3,1900,Ireland,IE-M-KY,Munster,Kerry,Tralee Bay low tide,52.2806,-9.8723,Larus marinus,1
2024-05-16 17:26:37,397.dgraves_emit_data.INFO  [x] Sent 42,Numenius arquata,Eurasian Curlew,2005-07-03T00:00:00,2005,7,3,1900,Ireland,IE-M-KY,Munster,Kerry,Tralee Bay low tide,52.2806,-9.8723,Numenius arquata,0
2024-05-16 17:26:39,313.dgraves_emit_data.INFO  [x] Sent 43,Numenius arquata,Eurasian Curlew,2005-07-03T00:00:00,2005,7,3,1900,Ireland,IE-M-KY,Munster,Kerry,Tralee Bay low tide,52.2806,-9.8723,Numenius arquata,0
2024-05-16 17:26:41,839.dgraves_emit_data.INFO  [x] Sent 44,Haematopus ostralegus,Eurasian Oystercatcher,2005-07-03T00:00:00,2005,7,3,1900,Ireland,IE-M-KY,Munster,Kerry,Tralee Bay low tide,52.2806,-9.8723,Haematopus ostralegus,0
2024-05-16 17:26:44,602.dgraves_emit_data.INFO  [x] Sent 45,Larus argentatus,Herring Gull,2005-07-04T00:00:00,2005,7,4,1500,Ireland,IE-M-KY,Munster,Kerry,Blasket Visitor Center,52.1328,-10.4624,Larus argentatus,0
2024-05-16 17:26:46,929.dgraves_emit_data.INFO  [x] Sent 46,Saxicola rubicola,European Stonechat,2005-07-04T00:00:00,2005,7,4,1500,Ireland,IE-M-KY,Munster,Kerry,Blasket Visitor Center,52.1328,-10.4624,Saxicola rubicola,0
2024-05-16 17:26:49,830.dgraves_emit_data.INFO  [x] Sent 47,Saxicola rubicola,European Stonechat,2005-07-04T00:00:00,2005,7,4,1500,Ireland,IE-M-KY,Munster,Kerry,Blasket Visitor Center,52.1328,-10.4624,Saxicola rubicola,0
2024-05-16 17:26:51,180.dgraves_emit_data.INFO  [x] Sent 48,Linaria cannabina,Eurasian Linnet,2005-07-04T00:00:00,2005,7,4,1500,Ireland,IE-M-KY,Munster,Kerry,Blasket Visitor Center,52.1328,-10.4624,Linaria cannabina,0
2024-05-16 17:26:54,183.dgraves_emit_data.INFO  [x] Sent 49,Linaria cannabina,Eurasian Linnet,2005-07-04T00:00:00,2005,7,4,1500,Ireland,IE-M-KY,Munster,Kerry,Blasket Visitor Center,52.1328,-10.4624,Linaria cannabina,0
2024-05-16 17:26:56,551.dgraves_emit_data.INFO  [x] Sent 50,Larus argentatus argentatus/argenteus,Herring Gull (European),2015-12-09T00:00:00,2015,12,9,1330,Ireland,IE-M-CK,Munster,Cork,Castletownbere Harbour,51.6523,-9.9082,Larus argentatus,0
2024-05-16 17:26:59,280.dgraves_emit_data.INFO  [x] Sent 51,Larus argentatus argentatus/argenteus,Herring Gull (European),2015-12-09T00:00:00,2015,12,9,1330,Ireland,IE-M-CK,Munster,Cork,Castletownbere Harbour,51.6523,-9.9082,Larus argentatus,0
2024-05-16 17:27:01,323.dgraves_emit_data.INFO  [x] Sent 52,Cinclus cinclus,White-throated Dipper,2015-12-13T00:00:00,2015,12,13,830,Ireland,IE-L-DN,Leinster,Dublin,Dodder Riverbank Park--East of M50,53.2893,-6.3268,Cinclus cinclus,0
2024-05-16 17:27:04,021.dgraves_emit_data.INFO  [x] Sent 53,Acanthis cabaret,Lesser Redpoll,2015-12-13T00:00:00,2015,12,13,830,Ireland,IE-L-DN,Leinster,Dublin,Dodder Riverbank Park--East of M50,53.2893,-6.3268,Acanthis cabaret,0
2024-05-16 17:27:06,731.dgraves_emit_data.INFO  [x] Sent 54,Tachybaptus ruficollis,Little Grebe,2015-12-13T00:00:00,2015,12,13,830,Ireland,IE-L-DN,Leinster,Dublin,Dodder Riverbank Park--East of M50,53.2893,-6.3268,Tachybaptus ruficollis,1
2024-05-16 17:27:08,916.dgraves_emit_data.INFO  [x] Sent 55,Anas platyrhynchos (Domestic type),Mallard (Domestic type),2015-12-13T00:00:00,2015,12,13,830,Ireland,IE-L-DN,Leinster,Dublin,Dodder Riverbank Park--East of M50,53.2893,-6.3268,Anas platyrhynchos (Domestic type),0
2024-05-16 17:27:10,091.dgraves_emit_data.INFO  [x] Sent 56,Certhia familiaris,Eurasian Treecreeper,2015-12-13T00:00:00,2015,12,13,1130,Ireland,IE-L-WW,Leinster,Wicklow,Glendalough,53.0064,-6.3446,Certhia familiaris,0
2024-05-16 17:27:12,650.dgraves_emit_data.INFO  [x] Sent 57,Cepphus grylle,Black Guillemot,2015-12-09T00:00:00,2015,12,9,1545,Ireland,IE-M-CK,Munster,Cork,Bantry Harbour,51.681,-9.4569,Cepphus grylle,0
2024-05-16 17:27:14,205.dgraves_emit_data.INFO  [x] Sent 58,Cepphus grylle,Black Guillemot,2015-12-09T00:00:00,2015,12,9,1545,Ireland,IE-M-CK,Munster,Cork,Bantry Harbour,51.681,-9.4569,Cepphus grylle,0
2024-05-16 17:27:15,792.dgraves_emit_data.INFO  [x] Sent 59,Motacilla cinerea,Gray Wagtail,2015-12-09T00:00:00,2015,12,9,1545,Ireland,IE-M-CK,Munster,Cork,Bantry Harbour,51.681,-9.4569,Motacilla cinerea,0
